Time[s], DOUT
-0.100000000000000, 0
0.000000000000000, 1
0.000334312500000, 0
0.001174562500000, 1
0.002038625000000, 0
0.002345125000000, 1
0.003209187500000, 0
0.003515687500000, 1
0.004378687500000, 0
0.004685187500000, 1
0.005019500000000, 0
0.005861875000000, 1
0.006193062500000, 0
0.007031312500000, 1
0.007895375000000, 0
0.008201875000000, 1
0.008533125000000, 0
0.009371375000000, 1
0.009706750000000, 0
0.010544000000000, 1
0.011410187500000, 0
0.011716687500000, 1
0.012580812500000, 0
0.012887312500000, 1
0.013750375000000, 0
0.014056875000000, 1
0.014923000000000, 0
0.015229562500000, 1
0.016092625000000, 0
0.016399125000000, 1
0.017265250000000, 0
0.017571750000000, 1
0.017904000000000, 0
0.018745375000000, 1
0.019076625000000, 0
0.019914875000000, 1
0.020250250000000, 0
0.021088500000000, 1
0.021419750000000, 0
0.022260062500000, 1
0.022594375000000, 0
0.023432687500000, 1
0.023764937500000, 0
0.024603250000000, 1
0.025470437500000, 0
0.025777000000000, 1
0.026108250000000, 0
0.026948625000000, 1
0.027283000000000, 0
0.028121250000000, 1
0.028453500000000, 0
0.029291750000000, 1
0.029626062500000, 0
0.030464312500000, 1
0.031328437500000, 0
0.031634937500000, 1
0.032497937500000, 0
0.032804437500000, 1
0.033138750000000, 0
0.033976937500000, 1
0.034844125000000, 0
0.035150562500000, 1
0.036013562500000, 0
0.036320062500000, 1
0.037185187500000, 0
0.037492687500000, 1
0.037823937500000, 0
0.038662187500000, 1
0.038997500000000, 0
0.039835750000000, 1
0.039853250000000, 0
0.049420312500000, 1
0.049754687500000, 0
0.050592937500000, 1
0.051456937500000, 0
0.051763437500000, 1
0.052627500000000, 0
0.052934000000000, 1
0.053799062500000, 0
0.054105562500000, 1
0.054437812500000, 0
0.055279187500000, 1
0.055610375000000, 0
0.056448625000000, 1
0.057312687500000, 0
0.057619187500000, 1
0.057950375000000, 0
0.058790687500000, 1
0.059125000000000, 0
0.059963250000000, 1
0.060827312500000, 0
0.061133812500000, 1
0.061997937500000, 0
0.062304437500000, 1
0.063167437500000, 0
0.063474000000000, 1
0.064340125000000, 0
0.064646625000000, 1
0.065509687500000, 0
0.065816187500000, 1
0.066682375000000, 0
0.066988875000000, 1
0.067321125000000, 0
0.068162500000000, 1
0.068493750000000, 0
0.069334062500000, 1
